Alpha,MeanNC,MeanSSIM
2,0.668617114454204,0.120331579438784
4,0.693000291287827,0.138471090552693
6,0.745967803342328,0.194707245512469
8,0.796267050545795,0.35632316023436
10,0.796452839593199,0.339757752505409
