Alpha,MSE,PSNR_dB,SSIM
2,2.08502741811056e-05,46.8088822968024,0.985266170910151
4,8.3401096724422e-05,40.7882823835227,0.94378924223602
6,0.000187652467629948,37.2664572024091,0.88252388926981
8,0.000333604386897686,34.7676824702431,0.80994133995651
10,0.000521256854527639,32.829482210082,0.733595687614797
