Alpha,DWT_PSNR_dB,CAT_PSNR_dB,DWT_NC_NoAttack,CAT_NC_NoAttack,DWT_MeanNC_Attacked,CAT_MeanNC_Attacked
2,46.8088822968024,46.8088822968024,1,1,0.668617114454204,0.699203266115105
4,40.7882823835227,40.7882823835227,1,1,0.693000291287827,0.776289675831624
6,37.2664572024091,37.2664572024091,1,1,0.745967803342328,0.792089483816342
8,34.7676824702431,34.7676824702431,1,1,0.796267050545795,0.80077401273062
10,32.829482210082,32.8296025024819,1,0.999999974674199,0.796452839593199,0.830221151419885
