Alpha,NC,NC_Binary,Watermark_PSNR_dB,Watermark_SSIM,Watermark_MSE
2,1,1,Inf,1,8.44850768499548e-30
4,1,1,Inf,1,1.8764970685312e-30
6,1,1,Inf,0.999999999999999,5.79224183090846e-31
8,1,1,Inf,0.999999999999999,3.64045898472259e-31
10,0.999999974674199,1,77.4652149367775,0.999994013516652,1.79257983356219e-08
