Alpha,MSE,PSNR_dB,SSIM
2,2.08502741811054e-05,46.8088822968024,0.988422401199992
4,8.34010967244222e-05,40.7882823835227,0.955401680455351
6,0.000187652467629949,37.2664572024091,0.905439002601891
8,0.000333604386897689,34.7676824702431,0.844358239107329
10,0.000521242416773474,32.8296025024819,0.777826590985471
