Alpha,MeanNC,MeanSSIM
2,0.699203266115105,0.190279425526327
4,0.776289675831624,0.24887923274637
6,0.792089483816342,0.271663001657057
8,0.80077401273062,0.284274587496246
10,0.830221151419885,0.325309548156235
