Alpha,Attack,NC,Watermark_PSNR_dB,Watermark_SSIM,Watermark_MSE
2,CropResize_75Pct,0.470403253616438,3.01897509864276,0.114327038127788,0.499002234230153
2,GaussianNoise,0.621422968035318,5.43758964990087,0.0954542490047523,0.285917695666488
2,JPEG_Q50,0.631761518320948,6.10503757453148,0.0679712659713133,0.245186324055103
2,JPEG_Q70,0.677171247038139,6.80073925733809,0.0924187740667178,0.20889405205221
2,JPEG_Q90,0.743400306594744,7.84569755413071,0.139340159577303,0.164221586943265
2,MedianFilter3x3,0.770264194430919,8.38110776185421,0.169995748840516,0.14517412723982
2,SaltPepperNoise,0.979999374769224,18.4667267390711,0.652448743095898,0.0142340119498337
4,CropResize_75Pct,0.473890315087127,3.08768299289685,0.111722467262023,0.491169850585798
4,GaussianNoise,0.792009010104007,8.38992615735059,0.19549252636876,0.144879648707478
4,JPEG_Q50,0.743861891114426,7.8920829515006,0.129184975801868,0.162476930136794
4,JPEG_Q70,0.774969795612619,8.44122367252263,0.16605466964203,0.143178442140803
4,JPEG_Q90,0.974938684379902,17.373787217229,0.385891913217022,0.018307172692376
4,MedianFilter3x3,0.696117740390384,7.25932149655694,0.115991118284419,0.187961044764504
4,SaltPepperNoise,0.978240294132906,18.0953213720209,0.637816958648468,0.0155048604868631
6,CropResize_75Pct,0.477026370525623,3.15631057257016,0.107773246768771,0.483469345506637
6,GaussianNoise,0.891730414489677,11.3386309613451,0.276162157345323,0.0734745447519086
6,JPEG_Q50,0.759076403077365,8.18491184085017,0.14390172578649,0.151882877302321
6,JPEG_Q70,0.786667949036584,8.67502855578207,0.185430622563005,0.135674160940708
6,JPEG_Q90,0.985115533792497,19.6168394888024,0.4386684372752,0.0109223490442436
6,MedianFilter3x3,0.664960703843492,6.85314940858542,0.0977931770229216,0.206388293024278
6,SaltPepperNoise,0.980049011949158,18.4783246207629,0.65191164483769,0.0141960505757609
8,CropResize_75Pct,0.479894480613036,3.22483518510016,0.102037260497494,0.475900851099198
8,GaussianNoise,0.938612939984114,13.7608229516896,0.328548235196266,0.0420646911763212
8,JPEG_Q50,0.769958780395151,8.38012331622438,0.166804860669393,0.145207038603007
8,JPEG_Q70,0.802636261481691,8.98452300881694,0.215460920705483,0.126341985920612
8,JPEG_Q90,0.984127330508981,19.2619718130643,0.420335098968092,0.0118523049965068
8,MedianFilter3x3,0.648282038351532,6.64679293724271,0.0900908184213742,0.21643161805932
8,SaltPepperNoise,0.981906257779833,18.9054147388637,0.666644918015618,0.0128664437628834
10,CropResize_75Pct,0.482591926522522,3.29265077096687,0.0958127213928266,0.46852732331255
10,GaussianNoise,0.961797681326661,15.7493927646469,0.362762245365701,0.0266109711133237
10,JPEG_Q50,0.791717355527953,8.78431530893869,0.194146154150343,0.13230262745237
10,JPEG_Q70,0.960891118029067,15.5123680348591,0.376908969884951,0.0281036803078075
10,JPEG_Q90,0.994526992461016,23.8266970744151,0.505879360961568,0.00414314652394378
10,MedianFilter3x3,0.637975769753513,6.52242800941811,0.0861084823681736,0.222718964660599
10,SaltPepperNoise,0.98204721631846,18.9351827951082,0.655548902970082,0.0127785542333458
